INPUT,,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
Amitrol,23.4,84.043596,0.58479,237.6,-,1.353,0.726,-,170.407,126.015,0.218,0.0084723,-,-,-,-,-,5.52E-01,2.15E-11,3.09109,4.50172,2.58E+02,3.07E-08,0.139703,7.08539,17.7237,-0.920745,1.59E+02,4.41E-07,3.3032
Anilofos,59.9,367.02325,93.1108,-,8.77E-09,1.305,5.81E-01,5.09E-06,212.717,45.647,0.439,0.000375,-,-,-,-,4.57E-07,1.98E-05,2.41E-11,260.533,94.8157,4.15E+02,5.69E-07,1.46446,11.6998,693.303,3.80524,5.10E+01,1.55E-07,3.62E-05
Asulam,72.7,230.03613,0.879023,-,-,1.426,1.062,-,238.632,150.147,0.033,0.0086298,-,-,-,-,5.65E-07,4.75E-03,1.21E-11,2.50573,4.63676,2.55E+02,1.67E-10,0.10489,8.13608,39.7139,-0.267172,1.44E+02,2.16E-09,0.553291
Atrazine,78.9,215.09377,8.49181,3.12E+02,8.11E-05,1.236,5.56E-01,8.83E-05,175.284,154.06,0.196,0.0063533,-,158.367,-,-,4.97E-07,4.41E-04,1.67E-11,7.94979,4.90761,3.37E+02,1.24E-08,0.0892399,8.38479,173.852,2.61148,1.73E+02,2.88E-07,0.0001985
Azinphos-ethyl,34.7,345.03707,12.7644,-,1.91E-08,1.38,0.466,-,221.117,84.295,0.833,0.0001432,-,-,-,-,7.76E-09,1.84E-05,1.39E-11,15.7165,95.7184,3.35E+02,1.83E-08,0.709963,10.4551,377.881,3.39808,5.30E+01,2.39E-06,1.98E-05
Azinphos methyl,37.7,317.00577,10.3514,-,2.75E-08,1.377,0.503,-,206.365,82.688,0.861,0.00016,-,-,-,-,1.82E-08,4.34E-05,1.68E-11,9.26715,95.264,3.35E+02,9.96E-08,0.268986,9.82933,190.743,2.74875,7.30E+01,1.60E-06,7.29E-05
Azoxystrobin,101.1,403.11682,-,4.74E+02,9.21E-07,1.341,9.61E-01,4.22E-07,269.559,121.192,0.199,0.001052,-,-,5.13E-05,-,9.42E-11,1.54E-06,1.68E-11,12.6901,5.68791,3.59E+02,3.38E-09,2.3119,11.6865,5514.34,2.50285,1.16E+02,8.33E-13,1.57E-05
Benalaxyl,71.2,325.16779,76.3836,4.03E+02,1.59E-05,1.1,7.36E-01,3.67E-06,214.232,95.634,0.152,0.0033189,-,1.48E+02,2.38E-05,7.60E+01,3.42E-07,5.06E-05,2.10E-11,59.9447,3.35688,3.78E+02,1.30E-08,0.472165,11.526,3457.81,3.4007,7.90E+01,9.87E-06,0.0001033
Benfuracarb,58.8,410.18754,45.7088,-,7.52E-07,1.257,1.05E+00,1.26E-06,190.057,97.969,0.67,0.0001807,-,-,-,-,1.10E-07,9.64E-06,6.45E-11,10.8259,5.67547,3.63E+02,3.53E-08,10.5807,11.5148,656.402,4.29959,9.60E+01,2.00E-07,2.00E-05
Bensulfuron methyl,77.3,410.08962,1.37088,-,5.04E-05,1.499,1.08E+00,1.35E-05,284.727,197.752,0.453,-,-,-,-,-,2.94E-10,7.21E-04,1.66E-11,4.77433,4.26826,2.65E+02,9.01E-12,0.14876,9.58193,315.107,2.28924,1.87E+02,2.13E-14,0.0002425
Bensulide,45.8,397.06051,13.4276,-,-,1.264,0.742,-,228.124,40.16,0.636,0.0004446,-,-,-,-,1.21E-06,3.85E-05,2.04E-11,4.84233,201.543,3.85E+02,1.57E-06,0.41289,10.4409,1000.26,4.20853,3.44E+01,8.02E-07,6.31E-05
Bentazon,102.4,240.05686,-,-,0.000182,-,1.022,-,-,116.27,-,-,-,-,-,-,-,5.41E-05,1.68E-11,1.41807,4.89764,3.04E+02,2.59E-10,0.144842,9.81435,33.9068,2.33723,1.38E+02,3.43E-06,0.0021594
Benzidine,21.7,184.10005,28.8403,3.68E+02,1.18E-05,1.194,5.24E-01,6.35E-05,183.324,128.79,1.062,0.0048865,-,-,0.0001303,-,1.75E-06,3.27E-04,3.63E-11,26.16,34.6548,4.00E+02,1.06E-07,0.584979,8.34898,2873.61,1.34012,1.19E+02,4.10E-07,0.0018256
Bifenazate,NR,300.14739,36.6438,3.79E+02,8.97E-06,1.188,6.15E-01,5.75E-06,190.087,143.155,0.751,0.0065917,-,-,9.53E-06,-,5.30E-08,2.64E-05,1.70E-11,46.4627,3.53994,3.07E+02,7.14E-10,0.215005,9.23541,1746.67,3.16535,1.22E+02,7.44E-08,9.33E-06
Bifenox,74.8,340.98578,92.4698,3.87E+02,3.15E-06,1.499,9.20E-01,4.03E-07,210.38,93.677,0.67,0.0181134,-,1.36E+02,2.32E-06,-,1.06E-07,1.23E-06,1.37E-11,1418.21,3.53895,3.66E+02,7.26E-09,3.7885,9.62901,9944.97,4.47854,8.50E+01,1.00E-07,7.40E-07
Bitertanol,65.8,337.17903,86.2979,3.88E+02,2.02E-05,1.198,5.33E-01,5.61E-07,272.999,132.115,0.576,0.0053951,-,-,-,-,5.20E-09,3.34E-05,2.31E-11,135.181,3.36207,3.40E+02,3.18E-07,0.929494,10.6505,796.755,4.15899,1.27E+02,2.18E-08,1.29E-05
Boscalid,64.5,342.03267,107.152,4.46E+02,3.19E-06,1.396,7.62E-01,4.15E-07,258.832,178.222,0.516,0.0093325,-,-,9.08E-06,-,1.04E-08,5.53E-06,1.06E-11,776.497,5.99313,3.97E+02,2.67E-09,1.41339,10.3441,1557.27,2.96055,1.78E+02,1.17E-09,1.06E-05
Bromacil,83,260.01604,3.5156,3.15E+02,9.73E-06,1.736,0.87,0.0005224,150.556,149.513,0.514,0.0047643,-,-,-,-,4.02E-07,1.79E-03,1.72E-11,3.23282,4.88671,2.91E+02,1.34E-06,0.0469187,8.41175,39.8863,2.10931,1.58E+02,3.09E-07,0.0030837
Bromophos ethyl,NR,391.88052,515.229,-,2.18E-09,1.593,6.42E-01,4.49E-07,185.613,46.114,-0.131,0.0003758,-,-,-,-,2.51E-05,7.94E-07,1.67E-11,7419.24,8.73249,3.93E+02,5.11E-06,5.55243,10.8247,2165.5,6.14652,6.10E+01,3.79E-05,1.12E-06
Bromophos methyl,28.2,363.84922,402.717,-,6.82E-09,1.675,0.634,7.80E-07,174.779,47.811,0.238,0.0006109,-,-,-,-,3.85E-05,1.71E-06,8.53E-12,3880.78,5.68185,372.42,7.44E-06,9.31554,9.59832,3424.6,5.21004,53.6044,0.000127,2.79E-06
Bromuconazole 1,85.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bromuconazole 2,82.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bupirimate,70.6,316.15691,-,-,9.46E-05,1.296,9.69E-01,7.55E-06,220.404,116.497,0.352,0.0014825,-,-,-,-,3.13E-07,6.59E-04,1.76E-11,1.6905,3.65196,3.49E+02,3.08E-10,0.774304,10.6659,298.805,2.7003,5.06E+01,7.48E-07,6.12E-05
Buprofezin,47,305.15618,65.3131,-,3.85E-05,1.177,0.248,-,212.953,95.449,0.774,0.0042073,-,-,-,-,3.80E-07,5.01E-05,1.38E-11,52.49,6.89035,3.54E+02,1.28E-07,0.14324,10.6306,1447.32,4.29853,1.05E+02,9.36E-06,2.11E-06
Butachlor,51.7,311.16521,29.9916,3.57E+02,1.32E-05,1.088,6.51E-01,8.91E-06,218.801,17.197,0.413,0.0059704,-,1.47E+02,8.61E-06,3.95E+01,1.42E-06,2.52E-04,2.00E-11,309.042,4.92521,3.26E+02,4.89E-08,0.192014,10.8342,724.3,4.49699,-2.73E+00,2.88E-06,6.75E-05
Butocarboxim,32.4,190.0776,5.30884,2.18E+02,3.28E-06,1.098,6.49E-01,4.00E-05,127.677,53.712,4.93E-01,5.88E-05,-,-,-,-,0.0001472,8.05E-02,1.10E-11,6.14673,3.53564,2.68E+02,2.29E-08,0.109447,7.71437,38.0194,1.09784,2.57E+01,7.93E-05,0.182291
Butoxycarboxim,82,222.06743,0.812831,285.697,0.0002328,1.23,7.58E-01,8.02E-05,203.509,90.247,0.685,0.0015959,-,-,-,-,4.66E-05,9.16E-02,2.19E-11,1.13827,4.87888,3.11E+02,5.18E-10,0.0916919,7.74497,5.82344,-0.114934,8.75E+01,2.06E-06,0.924897
Buturon,75.2,236.07164,-,310.62,-,1.147,7.37E-01,4.83E-05,147.564,85.153,0.667,0.0055463,-,-,-,2.12E+01,3.30E-07,2.60E-04,2.57E-11,36.9974,3.34799,3.15E+02,2.32E-10,0.0843564,10.007,96.1658,2.99809,1.43E+02,5.39E-07,0.0001275
Carbendazim,117.3,191.06948,1.6293,3.74E+02,1.10E-05,1.364,8.84E-01,5.96E-05,221.411,206.573,0.605,0.0082794,-,-,-,-,1.17E-08,9.08E-04,1.06E-11,2.51113,4.46684,2.75E+02,1.40E-09,0.119114,8.41489,223.839,1.51897,2.11E+02,7.59E-10,7.99E-05
Carbofuran,41.4,221.10519,11.5878,3.19E+02,4.20E-06,1.115,7.67E-01,6.58E-05,166.145,118.814,0.698,0.0002692,-,-,0.000514,2.58E+01,3.40E-06,1.88E-03,5.25E-11,2.8901,4.47288,2.85E+02,2.75E-09,0.625898,9.03678,56.3325,1.97375,1.51E+02,4.85E-06,0.0017448
Carbofuran 3-hydroxy,27.2,237.10011,10.4232,309.512,9.42E-06,1.177,0.876,6.82E-05,187.364,140.489,0.568,0.000271,-,-,0.0011092,26.3027,4.20E-07,0.0027227,1.64E-11,12.8372,3.53599,312.455,1.31E-09,0.49132,8.17892,233.631,1.63962,169.051,6.01E-08,0.0262757
Carboxine,39.8,235.0667,6.71429,3.81E+02,4.73E-05,1.254,2.40E-01,3.06E-05,217.237,102.49,0.233,-,-,144.359,-,5.74E+01,1.07E-07,3.05E-04,1.80E-11,8.05338,3.165,3.16E+02,3.06E-08,0.103105,10.6391,256.564,2.14048,9.16E+01,1.50E-07,0.000698
Carfentrazone ethyl,19.3,411.03643,9.86279,-,6.14E-06,1.593,1.163,-,235.033,135.454,0.679,0.0040551,-,-,-,-,2.58E-08,1.12E-05,2.16E-11,192.141,4.88739,352.496,2.24E-09,4.52345,9.6425,1193.19,3.36057,-21.9765,1.20E-07,5.37E-05
Chlorbromuron,110.4,291.96142,-,314.7,-,1.489,0.718,-,75.058,100.134,0.711,0.0073114,-,-,-,-,7.33E-07,4.26E-04,1.04E-11,49.3471,3.5214,3.15E+02,3.51E-10,0.0708875,10.3114,500.095,3.08964,9.60E+01,4.03E-07,0.0001203
Chlordimeform,20,196.07673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.69E-11,68.0857,4.92161,274.595,0.0001011,0.952581,5.70191,807.606,2.88812,35.2322,0.0009349,0.001374
Chlorfenvinfos,50.2,357.96953,128.825,3.48E+02,3.19E-08,1.422,9.11E-01,1.49E-06,263.333,47.592,0.144,0.0011561,-,-,0.0004295,1.79E+01,5.48E-06,1.30E-04,1.75E-11,73.6697,3.81656,3.74E+02,3.32E-09,0.27789,10.6045,295.683,3.80839,-1.97E+01,7.46E-06,0.0003744
Chloridazon,78.9,221.03559,-,3.55E+02,1.82E-05,1.53,6.79E-01,7.64E-06,165.786,200.736,0.107,0.0072277,-,-,-,-,2.55E-07,8.61E-04,2.04E-11,7.9564,3.33873,3.32E+02,6.43E-10,0.0757572,8.49864,120.215,1.1718,2.05E+02,4.52E-07,0.0015884
4-chloro-2-methylphenol,98.4,142.01854,22.4905,2.27E+02,1.43E-05,1.256,-,6.50E-05,95.048,55.507,0.164,0.011995,36.953,140.648,0.0001837,6.63743,0.0376704,1.00E-02,3.95E-11,21.0148,3.55101,2.10E+02,1.10E-06,0.14742,6.63284,84.4246,2.78206,51.3143,0.0242978,0.0281735
Chloroxuron,86.5,290.08221,79.7995,3.74E+02,5.00E-06,1.249,7.52E-01,7.57E-06,226.826,142.694,0.67,0.0082224,-,-,-,-,2.47E-09,2.10E-06,1.49E-11,95.1357,4.89984,3.47E+02,2.57E-10,0.799709,10.6602,3544.78,3.69794,1.51E+02,3.95E-09,1.29E-05
Chlorpropham,53.4,213.05566,10.0693,2.94E+02,5.70E-06,1.24,6.94E-01,1.55E-05,111.914,71.739,0.5,0.0040738,-,-,0.0002355,1.50E+01,1.78E-05,4.20E-04,1.57E-11,32.4158,3.54249,2.84E+02,4.40E-09,0.0751531,9.02424,395.843,3.50695,41.0684,0.0001794,0.000436
Chlorpyrifos ethyl,50,348.92628,380.189,-,8.30E-09,1.486,5.95E-01,8.09E-07,179.494,44.557,-0.097,0.0003048,-,-,-,-,3.08E-05,2.36E-06,1.48E-11,1515.77,4.74463,3.64E+02,2.92E-06,5.88563,10.5681,5000.97,4.95863,4.20E+01,2.03E-05,3.29E-06
Chlorpyrifos-methyl,86.5,320.89498,314.051,-,1.69E-08,1.538,7.42E-01,9.57E-07,168.741,43.396,0.44,0.001556,-,-,-,-,7.64E-05,4.42E-06,2.76E-11,2298.59,5.6735,3.48E+02,5.91E-07,5.97779,9.57353,3311.53,4.30989,4.30E+01,4.21E-05,1.29E-05
Chlorsulfuron,61.5,357.02985,1.90108,-,-,1.562,1.137,-,300.284,198.104,0.16,0.0176198,-,-,-,-,6.49E-11,3.42E-04,1.39E-11,8.46579,4.27775,2.65E+02,1.00E-10,0.247619,9.49681,154.781,1.99948,1.76E+02,2.25E-11,0.0512926
Chlortoluron,75.1,212.07164,10.9648,3.05E+02,3.62E-05,1.229,0.88,0.0001265,151.391,116.851,-0.043,0.0157036,-,-,-,8.97E+00,1.92E-06,3.06E-04,1.53E-11,36.2657,4.47625,3.12E+02,1.61E-09,0.0956815,9.80842,104.646,2.40831,1.48E+02,3.64E-08,0.0003378
Chlothianidin,75.4,249.00872,-,-,-,1.698,0.597,-,204.141,154.339,0.998,0.0023933,-,-,-,-,-,0.0020045,1.04E-11,14.1743,3.55227,326.576,1.88E-09,0.23457,8.06805,6.41952,0.701681,187.451,1.62E-07,0.0013504
Cinosulfuron,89.3,413.10052,0.714496,-,-,1.663,1.139,-,283.699,134.04,-,-,-,-,-,-,1.86E-08,6.89E-04,2.76E-11,2.57212,4.62074,3.37E+02,1.18E-11,0.134388,9.23426,70.5693,2.03777,1.30E+02,4.20E-10,0.0009321
Clomazone,45.4,239.07131,-,310.651,-,1.367,0.592,-,-,72.823,1.078,0.0025942,-,142.911,-,-,3.29E-05,1.06E-03,1.38E-11,67.9228,3.33761,2.75E+02,3.31E-08,0.598175,7.38028,276.031,2.49791,25.2499,0.0001434,0.0045795
Coumaphos,40.2,362.01446,-,-,1.07E-08,1.355,7.26E-01,2.61E-06,222.41,63.322,1.39E-01,3.78E-05,-,-,-,-,6.68E-07,2.62E-05,2.67E-11,554.431,7.84494,4.04E+02,5.76E-09,0.887335,11.7217,1132,4.12844,9.30E+01,9.73E-08,4.15E-06
Cyanazine,70.2,240.08902,8.05378,3.69E+02,3.48E-05,1.268,0.809,0.0001159,197.498,172.205,-0.052,0.0028576,-,-,-,-,5.98E-08,2.47E-03,1.60E-11,11.2447,5.1556,3.25E+02,4.61E-09,0.108803,9.09595,190.846,2.22077,1.68E+02,1.39E-07,0.0007133
Cycloate,40.4,215.13439,27.1019,-,2.82E-05,1.011,0.445,-,130.252,22.016,0.352,0.0067608,-,-,-,-,0.0048084,5.27E-04,3.54E-11,44.9829,2.66993,2.53E+02,1.71E-07,0.200508,7.53275,346.852,3.92367,11.7077,0.0019957,0.0003853
?-Cyhalothrin,39.3,449.10056,342.768,4.31E+02,2.74E-09,1.347,9.56E-01,3.27E-09,268.133,66.094,-0.114,0.0008204,-,-,-,-,3.11E-09,7.10E-08,3.40E-11,133.562,3.54485,4.23E+02,1.12E-08,9.66227,11.6907,181452,6.7988,4.94E+01,7.50E-09,2.20E-09
Cyproconazole,85.4,291.11384,118.85,3.65E+02,7.98E-05,1.293,5.84E-01,6.19E-07,239.329,107.833,0.664,0.0046026,-,-,-,-,5.25E-08,2.90E-04,1.66E-11,43.1516,3.44831,3.21E+02,5.48E-10,3.97091,10.6582,182.12,2.90198,1.08E+02,2.61E-07,0.0004291
Cyprodinil,53.1,225.1266,40.5509,3.45E+02,4.68E-06,1.202,5.16E-01,3.08E-06,183.748,124.234,0.679,0.0048865,-,1.40E+02,8.04E-05,-,1.14E-06,3.78E-04,1.64E-11,29.8135,4.02791,3.48E+02,2.53E-08,0.71144,11.3192,2171.4,3.99844,7.60E+01,3.67E-06,5.76E-05
Cyromazine,46.5,166.09669,0.665273,323.786,0.000399,1.47,0.56,0.0004246,222.634,213.186,-0.265,0.005728,-,-,-,-,1.80E-08,1.70E-02,3.40E-11,1.65227,4.06498,3.26E+02,9.41E-09,0.171741,8.53336,199.314,0.803329,2.25E+02,3.35E-09,0.0774962
DEET,73.6,191.13101,10.3276,307.376,0.0002958,0.995,0.57,0.0001216,129.719,38.427,-0.042,0.0091411,-,-,0.0003381,-,0.0003199,2.10E-02,1.69E-11,2.4133,3.35859,2.90E+02,1.45E-07,0.173119,7.24971,191.917,2.18358,-44.4054,0.0019986,0.0047728
Deltamethrin,7.9,502.97317,192.752,4.67E+02,4.97E-10,1.897,-,6.90E-09,268.121,98.189,3.10E-02,8.69E-05,-,-,-,-,1.64E-09,3.57E-08,3.42E-11,323.804,3.35386,4.30E+02,1.87E-09,3.23366,11.6883,62323.3,6.20043,9.99E+01,1.49E-08,1.86E-09
Desmetryn,66.1,213.10482,5.57186,323.611,0.0001089,1.183,0.576,0.0001002,181.928,94.359,0.11,0.0042756,-,-,-,-,1.33E-06,1.88E-03,1.76E-11,3.16073,3.35214,3.45E+02,1.86E-08,0.134484,8.98234,227.139,2.38274,8.50E+01,1.00E-06,0.0026702
Diafenthiuron,0,384.22353,222.844,4.83E+02,1.13E-07,1.035,5.49E-01,2.75E-08,229.473,158.38,0.222,0.0043451,-,-,-,-,1.19E-07,1.75E-07,2.83E-11,1527.2,5.15938,4.00E+02,1.26E-09,0.442884,9.48956,59947.8,6.00013,1.46E+02,3.80E-10,1.55E-07
Diazinon,64,304.10105,94.189,-,6.11E-09,1.17,6.09E-01,9.75E-06,172.928,2.942,0.26,0.0005861,-,-,-,-,7.69E-05,7.40E-05,1.76E-11,70.7854,4.75886,3.43E+02,1.13E-07,1.17708,9.83215,561.251,3.80885,2.00E+01,8.99E-05,0.0001554
Dichlofenthion,18.1,313.97001,357.273,-,1.02E-08,1.386,5.50E-01,7.96E-07,164.933,30.874,-0.026,0.000302,-,-,-,-,1.38E-04,2.69E-06,1.68E-11,2262.1,4.76383,3.80E+02,2.78E-06,3.08913,8.89758,1871.38,5.13775,59.1062,1.00E-04,7.87E-07
Dichloran,61.8,205.96498,15.4882,3.22E+02,7.38E-06,1.574,2.12E-01,5.15E-05,156.247,130.321,0.783,0.0111429,-,1.51E+02,5.31E-05,5.68E+00,5.56E-05,3.11E-04,1.53E-12,15.5603,4.95998,3.20E+02,3.08E-09,0.272927,8.46152,995.914,2.7987,1.91E+02,1.21E-06,3.32E-05
"2,4-Dichlorophenoxyacetic acid",87.3,219.9694,4.61318,311.414,0.0002004,1.473,5.23E-01,7.82E-05,167.216,132.353,0.031,0.0026182,45.206,142.278,0.0001112,1.91E+01,1.10E-05,2.00E-03,8.51E-12,3.33894,3.54877,3.00E+02,2.96E-09,0.214166,8.64937,45.9586,2.80925,1.41E+02,2.89E-07,0.006846
Dichlorprop,102,233.98505,7.2778,317.542,0.0001841,1.44,7.27E-01,5.50E-05,165.848,129.267,0.031,0.0020701,43.516,1.38E+02,8.00E-05,2.14E+01,8.95E-06,2.16E-03,1.17E-11,3.54397,3.53597,2.98E+02,3.01E-09,0.144763,9.1961,169.177,2.82704,1.22E+02,7.67E-08,0.001964
Dichlorvos,47.4,219.9459,3.75837,2.16E+02,2.00E-08,1.378,0.71,0.0001901,86.044,-32.427,6.17E-01,5.65E-05,-,133.706,-,2.73527,0.047863,1.59E-01,3.61E-11,0.502026,4.1387,2.34E+02,4.06E-09,4.06008,6.07272,46.6523,1.42945,-59.8885,0.0157875,0.0490453
Dicrotophos,73.9,237.07661,1.64437,2.99E+02,1.51E-07,1.149,0.694,0.0005768,140.784,1.814,4.21E-01,3.00E-05,-,156.061,0.0047863,10.7895,0.0002084,5.42E-02,2.78E-11,0.922621,4.13853,3.10E+02,5.04E-11,0.310396,7.37958,45.6565,0.0002994,-16.0635,0.00016,4.20595
Diethofencarb,89.1,267.14706,17.7419,3.35E+02,2.01E-05,1.108,5.80E-01,1.89E-05,190.438,85.114,0.611,0.0051051,-,-,-,4.65E+01,5.35E-08,3.94E-04,1.65E-11,19.8465,5.12309,3.02E+02,3.23E-10,0.497886,10.3652,262.561,2.91094,1.00E+02,6.25E-05,0.0001013
Difenacoum,31.3,444.17254,-,5.59E+02,7.53E-07,1.316,8.86E-01,1.19E-08,279.733,221.847,4.16E-01,1.85E-06,-,-,-,-,5.89E-14,5.64E-06,7.50E-11,823.609,122.722,4.58E+02,4.18E-09,2.14308,11.6769,122852,6.22729,2.16E+02,6.74E-11,3.80E-06
Difenoconazole,62.4,405.0647,148.936,4.14E+02,1.11E-05,1.437,4.13E-01,1.69E-06,274.113,110.169,0.467,0.0025468,-,-,-,-,1.75E-09,1.40E-05,2.32E-11,230.306,3.36235,3.36E+02,4.93E-06,2.38939,11.7315,4020.3,4.29715,7.61E+01,2.53E-10,3.68E-05
